Make,Model,Variant,Year,Location,Fuel,Engine,Transmission,KM_driven,Car_Age,Price_in_lacs
toyota,passo,x g package,2020,Karachi,Petrol,1000.0,Automatic,36610,5,38.0
toyota,yaris hatchback,g,2022,Islamabad,Petrol,1500.0,Automatic,28050,3,51.99
toyota,land cruiser,ax,2011,Karachi,Petrol,4600.0,Automatic,85000,14,210.0
suzuki,alto,vxr,2021,Faisalabad,Petrol,660.0,Manual,50870,4,23.0
toyota,raize,xs,2020,Rawalpindi,Petrol,1000.0,Automatic,40766,5,54.0
suzuki,palette,sw limited,2012,Gujranwala,Petrol,660.0,Automatic,224333,13,18.0
haval,h6,2.0t awd,2023,Lahore,Petrol,2000.0,Automatic,30891,2,85.0
bmw,x1,sdrive18i a/t,2017,Karachi,Petrol,1500.0,Automatic,120017,8,76.0
toyota,corolla,gli automatic 1.6 vvti,2011,Rawalpindi,Petrol,1600.0,Automatic,248813,14,29.0
toyota,prius,a,2017,Lahore,Hybrid,1800.0,Automatic,178500,8,72.0
toyota,vitz,ill 1.5,2009,Islamabad,Petrol,1500.0,Automatic,145000,16,29.5
honda,city,1.3 i-vtec prosmatec,2017,Lahore,Petrol,1300.0,Automatic,131000,8,35.9
suzuki,cultus,vxl,2019,Lahore,Petrol,1000.0,Manual,87755,6,25.0
suzuki,cultus,euro ii,2015,D.G.Khan,Petrol,1000.0,Manual,53000,10,18.25
honda,civic,oriel 1.8 i-vtec cvt,2018,Gujranwala,Petrol,1800.0,Automatic,147500,7,54.75
honda,city,i-dsi,2006,Faisalabad,Petrol,1300.0,Manual,256000,19,17.5
suzuki,cultus,vxri,2008,Islamabad,Petrol,1000.0,Manual,77635,17,14.2
suzuki,alto,vxr,2019,Lahore,Petrol,660.0,Manual,83000,6,20.5
suzuki,alto,vxr,2025,Multan,Petrol,660.0,Manual,8995,0,29.35
kia,stonic,ex+,2025,Karachi,Petrol,1400.0,Automatic,4651,0,59.0
toyota,vitz,fl 1.0,2002,Lahore,Petrol,1000.0,Automatic,138000,23,24.0
mg,hs,1.5 turbo,2021,Karachi,Petrol,1490.0,Automatic,22919,4,62.0
kia,stonic,ex+,2025,Karachi,Petrol,1400.0,Automatic,4651,0,59.0
toyota,vitz,fl 1.0,2002,Lahore,Petrol,1000.0,Automatic,138000,23,24.0
mg,hs,1.5 turbo,2021,Karachi,Petrol,1490.0,Automatic,22919,4,62.0
toyota,raize,z,2019,Lahore,Petrol,1000.0,Automatic,45000,6,56.0
suzuki,swift,dlx automatic 1.3 navigation,2017,Karachi,Petrol,1300.0,Automatic,71854,8,26.0
haval,h6,hev,2023,Lahore,Hybrid,1500.0,Automatic,6000,2,108.0
toyota,vitz,b 1.0,2006,Karachi,Petrol,1000.0,Automatic,141653,19,19.0
toyota,prado,tx l package 2.7,2021,Lahore,Petrol,2700.0,Automatic,42222,4,319.0
kia,sportage,fwd,2021,Islamabad,Petrol,2000.0,Automatic,78000,4,67.5
toyota,corolla,gli automatic limited edition 1.6 vvti,2011,Rawalpindi,Petrol,1600.0,Manual,200000,14,24.0
suzuki,mehran,vxr euro ii,2018,Islamabad,Petrol,800.0,Manual,75000,7,15.5
suzuki,mehran,vxr euro ii,2013,Rawalpindi,Petrol,800.0,Manual,6000,12,11.5
toyota,aqua,s,2016,Karachi,Hybrid,1500.0,Automatic,96000,9,45.0
suzuki,mehran,vx euro ii,2014,Lahore,Petrol,796.0,Manual,128000,11,10.45
daihatsu,cuore,cl,2006,Umer Kot,CNG,800.0,Manual,150000,19,7.0
suzuki,mehran,vxr euro ii,2014,Mansehra,Petrol,796.0,Manual,84000,11,11.7
suzuki,alto,vxr,2022,Lahore,Petrol,660.0,Manual,54000,3,25.65
toyota,corolla,gli 1.3 vvti,2009,Lahore,Petrol,1300.0,Manual,161000,16,28.5
honda,civic,oriel,2022,Lahore,Petrol,1500.0,Automatic,90000,3,74.5
honda,civic reborn,vti oriel prosmatec 1.8 i-vtec,2012,Lahore,Petrol,1800.0,Automatic,142000,13,28.0
toyota,corolla,gli automatic 1.3 vvti,2015,Karachi,Petrol,1300.0,Automatic,80000,10,35.0
toyota,prius,s 1.5,2007,Lahore,Hybrid,1500.0,Automatic,146500,18,30.0
toyota,prius,s led edition 1.8,2013,Islamabad,Hybrid,1800.0,Automatic,100000,12,43.5
suzuki,mehran,vx,2005,Lahore,Petrol,800.0,Manual,100000,20,4.7
suzuki,ravi,euro ii,2019,Islamabad,Petrol,800.0,Manual,77000,6,14.0
toyota,corolla,gli automatic limited edition 1.6 vvti,2011,Rawalpindi,Petrol,1600.0,Manual,200000,14,24.0
suzuki,alto,vxl ags,2022,Karachi,Petrol,660.0,Automatic,15075,3,30.0
honda,city,1.3 i-vtec,2015,Lahore,Petrol,1300.0,Manual,109000,10,29.5
toyota,hilux,revo v automatic 2.8,2021,Lahore,Diesel,2800.0,Automatic,65000,4,116.0
honda,br-v,i-vtec s,2022,Karachi,Petrol,1500.0,Automatic,25348,3,53.0
nissan,note,e-power x v selection,2018,Lahore,Hybrid,1200.0,Automatic,65000,7,39.25
suzuki,cultus,vxl,2018,Karachi,Petrol,1000.0,Manual,79597,7,23.0
suzuki,xbee,mz,2018,Islamabad,Hybrid,1000.0,Automatic,49000,7,35.0
mitsubishi,ek wagon,g,2019,Karachi,Petrol,660.0,Automatic,70102,6,29.0
kia,sportage,fwd,2021,Islamabad,Petrol,2000.0,Automatic,78000,4,67.5
toyota,prius,s led edition 1.8,2013,Islamabad,Hybrid,1800.0,Automatic,100000,12,43.5
suzuki,mehran,vx,2005,Lahore,Petrol,800.0,Manual,100000,20,4.7
suzuki,ravi,euro ii,2019,Islamabad,Petrol,800.0,Manual,77000,6,14.0
suzuki,mehran,vxr euro ii,2019,Kandh kot,Petrol,796.0,Manual,56000,6,12.5
mercedes benz,c class,c200,2008,Islamabad,Petrol,1800.0,Automatic,125000,17,53.0
toyota,corolla,gli 1.3 vvti,2017,Rawalpindi,Petrol,1300.0,Manual,113000,8,34.95
daewoo,racer,base grade 1.5,1993,Islamabad,Petrol,1500.0,Manual,300000,32,6.3
honda,civic,oriel prosmatec ug,2013,Rawalpindi,Petrol,1800.0,Automatic,105000,12,40.0
daihatsu,mira,l,2012,Karachi,Petrol,660.0,Automatic,115000,13,23.0
toyota,corolla,gli 1.3 vvti,2011,Mansehra,Petrol,1300.0,Manual,210000,14,27.9
daihatsu,move,custom rs sa,2014,Islamabad,Petrol,660.0,Automatic,82000,11,23.0
honda,city,1.2l cvt,2023,Sialkot,Petrol,1200.0,Automatic,42000,2,45.0
mitsubishi,ek wagon,g,2019,Karachi,Petrol,660.0,Automatic,70102,6,29.0
toyota,corolla,gli automatic 1.3 vvti,2018,Karachi,Petrol,1300.0,Automatic,60000,7,43.8
honda,city,i-dsi,2005,Karachi,Petrol,1300.0,Manual,176486,20,14.0
suzuki,wagon r,stingray hybrid x,2020,Lahore,Hybrid,660.0,Automatic,60000,5,36.5
honda,city,1.3 i-vtec prosmatec,2019,Lahore,Petrol,1300.0,Automatic,85000,6,39.85
dfsk,glory 580,pro,2022,Islamabad,Petrol,1500.0,Automatic,70200,3,48.0
suzuki,wagon r,vxl,2021,Islamabad,Petrol,1000.0,Manual,31728,4,26.5
toyota,crown,royal saloon g,2003,Islamabad,Petrol,3000.0,Automatic,152321,22,38.5
honda,hr-v,vti-s,2023,Islamabad,Petrol,1500.0,Automatic,102000,2,64.0
kia,stonic,ex+,2025,Karachi,Petrol,1400.0,Automatic,9283,0,58.0
toyota,prado,tz 3.0d,2001,Islamabad,Diesel,3000.0,Automatic,145000,24,55.0
suzuki,xbee,mz,2018,Islamabad,Hybrid,1000.0,Automatic,49000,7,35.0
honda,city,1.2l cvt,2023,Sialkot,Petrol,1200.0,Automatic,42000,2,45.0
suzuki,wagon r,vxl,2017,Islamabad,Petrol,1000.0,Manual,20000,8,21.0
honda,civic,vti oriel prosmatec 1.6,2003,Sialkot,Petrol,1600.0,Automatic,129000,22,16.5
